"No.","Time","Source","Destination","Protocol","Length","Info"
"943","165.831070","192.168.239.134","185.125.190.97","TCP","60","48782  >  80 [RST] Seq=1 Win=0 Len=0"
"944","165.885884","192.168.239.132","185.199.110.133","TCP","54","[TCP Dup ACK 189#3] 58626  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"945","165.885934","185.199.110.133","192.168.239.132","TCP","54","[TCP Dup ACK 190#3] 443  >  58626 [ACK] Seq=1 Ack=2 Win=64240 Len=0"
"946","166.581931","192.168.239.134","185.125.190.96","TCP","74","[TCP Port numbers reused] 37604  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3632496903 TSecr=0 WS=128"
"947","166.709963","192.168.239.134","91.189.91.98","TCP","74","[TCP Port numbers reused] 52716  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1340688229 TSecr=0 WS=128"
"948","166.808025","185.125.190.96","192.168.239.134","TCP","58","80  >  37604 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"949","166.808518","192.168.239.134","185.125.190.96","TCP","60","37604  >  80 [RST] Seq=1 Win=0 Len=0"
"950","166.972851","91.189.91.98","192.168.239.134","TCP","58","80  >  52716 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"951","166.973182","192.168.239.134","91.189.91.98","TCP","60","52716  >  80 [RST] Seq=1 Win=0 Len=0"
"952","167.605992","192.168.239.134","185.125.190.96","TCP","74","[TCP Port numbers reused] 37604  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3632497927 TSecr=0 WS=128"
"953","167.670000","192.168.239.134","91.189.91.96","TCP","74","[TCP Port numbers reused] 57678  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=4227157689 TSecr=0 WS=128"
"954","167.860474","185.125.190.96","192.168.239.134","TCP","58","80  >  37604 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"955","167.860855","192.168.239.134","185.125.190.96","TCP","60","37604  >  80 [RST] Seq=1 Win=0 Len=0"
"956","167.932301","91.189.91.96","192.168.239.134","TCP","58","80  >  57678 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"957","167.932610","192.168.239.134","91.189.91.96","TCP","60","57678  >  80 [RST] Seq=1 Win=0 Len=0"
"958","169.654068","192.168.239.134","185.125.190.96","TCP","74","[TCP Port numbers reused] 37604  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3632499975 TSecr=0 WS=128"
"959","169.654146","192.168.239.134","185.125.190.97","TCP","74","[TCP Port numbers reused] 48782  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=16952979 TSecr=0 WS=128"
"960","169.880033","185.125.190.97","192.168.239.134","TCP","58","80  >  48782 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"961","169.880404","192.168.239.134","185.125.190.97","TCP","60","48782  >  80 [RST] Seq=1 Win=0 Len=0"
"962","169.906478","185.125.190.96","192.168.239.134","TCP","58","80  >  37604 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"963","169.906765","192.168.239.134","185.125.190.96","TCP","60","37604  >  80 [RST] Seq=1 Win=0 Len=0"
"964","170.469393","192.168.239.134","192.168.239.2","DNS","100","Standard query 0x01c7 A connectivity-check.ubuntu.com OPT"
"965","170.469551","192.168.239.135","192.168.239.2","DNS","100","Standard query 0x36f9 A connectivity-check.ubuntu.com OPT"
"966","170.469650","192.168.239.136","192.168.239.2","DNS","100","Standard query 0x4a18 A connectivity-check.ubuntu.com OPT"
"967","170.469723","192.168.239.137","192.168.239.2","DNS","100","Standard query 0xb617 A connectivity-check.ubuntu.com OPT"
"968","170.472513","192.168.239.2","192.168.239.134","DNS","292","Standard query response 0x01c7 A connectivity-check.ubuntu.com A 185.125.190.98 A 185.125.190.49 A 185.125.190.96 A 91.189.91.96 A 185.125.190.17 A 185.125.190.97 A 91.189.91.49 A 91.189.91.97 A 91.189.91.48 A 185.125.190.48 A 91.189.91.98 A 185.125.190.18 OPT"
"969","170.472556","192.168.239.2","192.168.239.135","DNS","292","Standard query response 0x36f9 A connectivity-check.ubuntu.com A 91.189.91.49 A 185.125.190.49 A 185.125.190.18 A 91.189.91.96 A 185.125.190.17 A 185.125.190.98 A 185.125.190.97 A 91.189.91.48 A 185.125.190.48 A 91.189.91.98 A 91.189.91.97 A 185.125.190.96 OPT"
"970","170.472577","192.168.239.2","192.168.239.136","DNS","292","Standard query response 0x4a18 A connectivity-check.ubuntu.com A 91.189.91.97 A 185.125.190.18 A 185.125.190.17 A 185.125.190.48 A 185.125.190.98 A 185.125.190.97 A 185.125.190.96 A 91.189.91.96 A 91.189.91.49 A 185.125.190.49 A 91.189.91.98 A 91.189.91.48 OPT"
"971","170.472596","192.168.239.2","192.168.239.137","DNS","292","Standard query response 0xb617 A connectivity-check.ubuntu.com A 185.125.190.98 A 185.125.190.48 A 185.125.190.17 A 185.125.190.97 A 91.189.91.96 A 91.189.91.49 A 91.189.91.97 A 91.189.91.48 A 185.125.190.49 A 91.189.91.98 A 185.125.190.96 A 185.125.190.18 OPT"
