method,latency_ns
balanced_tree,83.63
balanced_tree,85.98
balanced_tree,82.07
balanced_tree,181.34
balanced_tree,85.98
balanced_tree,85.98
balanced_tree,83.63
balanced_tree,85.20
balanced_tree,85.20
balanced_tree,85.20
balanced_tree,230.58
balanced_tree,83.63
balanced_tree,90.67
balanced_tree,86.76
balanced_tree,89.88
balanced_tree,84.42
balanced_tree,85.20
balanced_tree,85.98
balanced_tree,86.76
balanced_tree,178.99
balanced_tree,83.63
balanced_tree,84.42
balanced_tree,85.20
balanced_tree,83.63
balanced_tree,82.07
balanced_tree,153.98
balanced_tree,79.73
balanced_tree,90.67
balanced_tree,87.54
balanced_tree,85.98
balanced_tree,84.42
balanced_tree,84.42
balanced_tree,87.54
balanced_tree,210.26
balanced_tree,81.29
balanced_tree,75.04
balanced_tree,491.64
balanced_tree,88.32
balanced_tree,186.81
balanced_tree,85.20
balanced_tree,86.76
balanced_tree,92.23
balanced_tree,79.73
balanced_tree,91.45
balanced_tree,83.63
balanced_tree,94.58
balanced_tree,84.42
balanced_tree,79.73
balanced_tree,80.51
balanced_tree,82.85
balanced_tree,93.01
balanced_tree,85.98
balanced_tree,80.51
balanced_tree,87.54
balanced_tree,82.85
balanced_tree,143.04
balanced_tree,79.73
balanced_tree,75.04
balanced_tree,75.03
balanced_tree,81.29
balanced_tree,78.16
balanced_tree,150.07
balanced_tree,78.16
balanced_tree,78.16
balanced_tree,82.85
balanced_tree,81.29
balanced_tree,76.60
balanced_tree,82.07
balanced_tree,75.82
balanced_tree,76.60
balanced_tree,77.38
balanced_tree,175.08
balanced_tree,81.29
balanced_tree,81.29
balanced_tree,75.82
balanced_tree,74.25
balanced_tree,76.60
balanced_tree,75.04
balanced_tree,71.13
balanced_tree,71.91
balanced_tree,71.91
balanced_tree,180.56
balanced_tree,79.73
balanced_tree,73.47
balanced_tree,75.82
balanced_tree,71.91
balanced_tree,70.35
balanced_tree,71.13
balanced_tree,71.91
balanced_tree,75.82
balanced_tree,72.69
balanced_tree,162.58
balanced_tree,73.47
balanced_tree,73.47
