method,latency_ns
balanced_tree,295.46
balanced_tree,293.89
balanced_tree,293.89
balanced_tree,291.55
balanced_tree,297.80
balanced_tree,301.71
balanced_tree,300.14
balanced_tree,290.77
balanced_tree,295.45
balanced_tree,297.02
balanced_tree,705.03
balanced_tree,305.61
balanced_tree,300.93
balanced_tree,303.27
balanced_tree,304.05
balanced_tree,301.71
balanced_tree,309.52
balanced_tree,300.93
balanced_tree,307.18
balanced_tree,305.61
balanced_tree,306.40
balanced_tree,302.49
balanced_tree,300.93
balanced_tree,308.74
balanced_tree,400.97
balanced_tree,306.40
balanced_tree,301.71
balanced_tree,306.40
balanced_tree,318.12
balanced_tree,312.65
balanced_tree,305.61
balanced_tree,722.22
balanced_tree,316.56
balanced_tree,316.56
balanced_tree,313.43
balanced_tree,316.56
balanced_tree,318.12
balanced_tree,315.00
balanced_tree,316.56
balanced_tree,311.87
balanced_tree,310.31
balanced_tree,310.30
balanced_tree,311.09
balanced_tree,307.96
balanced_tree,317.34
balanced_tree,319.68
balanced_tree,323.59
balanced_tree,314.21
balanced_tree,317.34
balanced_tree,322.03
balanced_tree,318.12
balanced_tree,315.00
balanced_tree,719.09
balanced_tree,318.91
balanced_tree,311.87
balanced_tree,322.81
balanced_tree,313.43
balanced_tree,319.69
balanced_tree,313.43
balanced_tree,322.03
balanced_tree,386.12
balanced_tree,319.69
balanced_tree,322.03
balanced_tree,327.50
balanced_tree,323.59
balanced_tree,328.28
balanced_tree,325.94
balanced_tree,318.91
balanced_tree,338.44
balanced_tree,332.97
balanced_tree,333.75
balanced_tree,326.72
balanced_tree,742.54
balanced_tree,343.92
balanced_tree,348.61
balanced_tree,397.07
balanced_tree,382.22
balanced_tree,615.92
balanced_tree,579.18
balanced_tree,576.84
balanced_tree,605.76
balanced_tree,561.99
balanced_tree,569.02
balanced_tree,723.78
balanced_tree,569.02
balanced_tree,979.38
balanced_tree,663.60
balanced_tree,576.84
balanced_tree,589.35
balanced_tree,572.93
balanced_tree,575.27
balanced_tree,627.64
balanced_tree,569.80
balanced_tree,579.19
balanced_tree,576.84
balanced_tree,579.97
balanced_tree,590.13
balanced_tree,967.65
balanced_tree,579.18
balanced_tree,576.06
balanced_tree,629.99
balanced_tree,572.93
balanced_tree,576.06
balanced_tree,576.06
balanced_tree,583.09
balanced_tree,572.15
balanced_tree,576.84
balanced_tree,583.09
balanced_tree,1027.06
balanced_tree,588.57
psn_fixed,1076.30
psn_fixed,908.25
psn_fixed,840.25
psn_fixed,970.78
psn_fixed,812.89
psn_fixed,1205.26
psn_fixed,778.50
psn_fixed,735.51
psn_fixed,635.46
psn_fixed,707.37
psn_fixed,697.99
psn_fixed,576.06
psn_fixed,584.65
psn_fixed,597.16
psn_fixed,551.05
psn_fixed,559.64
psn_fixed,951.24
psn_fixed,483.83
psn_fixed,496.33
psn_fixed,424.42
psn_fixed,394.72
psn_fixed,463.51
psn_fixed,433.80
psn_fixed,452.56
psn_fixed,470.54
psn_fixed,389.25
