# exp1b lookup/retrieve time cost (batch-amortized). payload=1024 reps=5 B=512 n_batches=32
# methods: fifo_bounded / chained_hash_bounded / balanced_tree_bounded / psn_dynblock(S0=payload) / psn_dynblock_adaptive(收敛后冻结) / ring_fixed(固定S=4096去弹性) / index_only(对照E)
# modes: gbn_long64(64) / gbn_short8(8) / sr_16(16) / sr_64(64); per-op = 一次 retrieve_range/retrieve_set(定位+memcpy+升序交付全过程)
# SR retrieve_set 按第 4B 升序契约交付; sort_impl=0 主(glibc qsort)/1 xval(内联插入排序)，只作用于 SR 排序路径(GBN 无排序故两遍一致)
#   fifo/hash/index_only 显式 sort_u32_asc; tree=tree_search_set(排序+k 次 O(log N) 查找, 主; tree_inorder=1 才退中序 O(N)); dynblock 位置映射扫槽
# N=缓存深度(工作集条数)=环长(所有方法同义); dynblock 环长=N(Φ=psn%N O(1)); index_only=Φ纯算术 len=0 无 memcpy
# p50=主指标 p90=次指标; p99 仅留痕(实机尾部干净, p99 备查)
# floor(空批,读钟/B): B=512 median=0.195 ns/op; B=32(xval) median=0.256 ns/op
# 第 35 条口径：pkts_per_op=K（每个操作固定 K 个重传报文；SR=K 个互异 PSN、GBN=K 个连续 PSN，K 在所有 N 下恒定）
# ring_bytes=dynblock 占用面积=N×stride(S)（stride=align16(S)，24B 头不计）；非 dynblock 方法=0（无环缓冲）
# main_metric=batch_p50_ns（每批固定 K 个报文的 retrieve 摊到单批的 p50，即「每批固定 K 个报文」口径）
method,sort_impl,mode,N,pkts_per_op,ring_bytes,payload,B,n_batches,reps,mean_ns,std_ns,p50_ns,p90_ns,p99_ns,main_metric
balanced_tree_bounded,1,gbn_short8,256,8,0,1024,512,32,5,133.217,2.574,132.808,134.382,141.304,batch_p50_ns
psn_dynblock,0,gbn_short8,256,8,262144,1024,512,32,5,88.134,1.360,87.805,88.810,95.447,batch_p50_ns
psn_dynblock,1,gbn_short8,256,8,262144,1024,512,32,5,87.997,1.160,87.751,88.439,94.788,batch_p50_ns
psn_dynblock_adaptive,0,gbn_short8,256,8,262144,1024,512,32,5,87.966,1.198,87.688,88.324,94.840,batch_p50_ns
psn_dynblock_adaptive,1,gbn_short8,256,8,262144,1024,512,32,5,87.983,1.297,87.716,88.385,95.795,batch_p50_ns
ring_fixed,0,gbn_short8,256,8,1048576,1024,512,32,5,91.376,1.118,91.151,91.558,97.872,batch_p50_ns
ring_fixed,1,gbn_short8,256,8,1048576,1024,512,32,5,91.395,0.998,91.170,91.580,98.148,batch_p50_ns
index_only,0,gbn_short8,256,8,0,1024,512,32,5,25.942,0.513,25.887,25.923,28.357,batch_p50_ns
index_only,1,gbn_short8,256,8,0,1024,512,32,5,25.931,0.411,25.895,25.931,27.016,batch_p50_ns
fifo_bounded,0,sr_16,256,16,0,1024,512,32,5,2419.606,33.549,2408.516,2467.762,2543.897,batch_p50_ns
fifo_bounded,1,sr_16,256,16,0,1024,512,32,5,2257.148,18.421,2255.927,2281.090,2333.534,batch_p50_ns
chained_hash_bounded,0,sr_16,256,16,0,1024,512,32,5,471.626,22.055,465.226,480.265,605.559,batch_p50_ns
chained_hash_bounded,1,sr_16,256,16,0,1024,512,32,5,312.690,3.545,311.724,316.962,324.924,batch_p50_ns
balanced_tree_bounded,0,sr_16,256,16,0,1024,512,32,5,607.083,8.999,604.441,614.272,654.059,batch_p50_ns
balanced_tree_bounded,1,sr_16,256,16,0,1024,512,32,5,454.195,8.841,451.415,461.767,498.528,batch_p50_ns
psn_dynblock,0,sr_16,256,16,262144,1024,512,32,5,242.550,10.212,239.471,247.883,286.827,batch_p50_ns
psn_dynblock,1,sr_16,256,16,262144,1024,512,32,5,239.853,2.697,238.985,242.950,250.116,batch_p50_ns
psn_dynblock_adaptive,0,sr_16,256,16,262144,1024,512,32,5,239.301,2.691,238.669,240.683,250.966,batch_p50_ns
psn_dynblock_adaptive,1,sr_16,256,16,262144,1024,512,32,5,242.796,10.489,238.946,251.530,299.450,batch_p50_ns
ring_fixed,0,sr_16,256,16,1048576,1024,512,32,5,240.527,3.376,239.509,243.352,262.111,batch_p50_ns
ring_fixed,1,sr_16,256,16,1048576,1024,512,32,5,242.717,7.183,239.919,249.055,277.300,batch_p50_ns
index_only,0,sr_16,256,16,0,1024,512,32,5,322.823,8.373,320.932,330.351,358.071,batch_p50_ns
index_only,1,sr_16,256,16,0,1024,512,32,5,165.595,2.807,164.852,168.838,174.251,batch_p50_ns
fifo_bounded,0,sr_64,256,64,0,1024,512,32,5,10139.801,63.154,10123.850,10199.778,10460.824,batch_p50_ns
fifo_bounded,1,sr_64,256,64,0,1024,512,32,5,9335.246,83.582,9306.091,9474.991,9593.614,batch_p50_ns
chained_hash_bounded,0,sr_64,256,64,0,1024,512,32,5,2675.113,14.707,2672.301,2690.030,2741.672,batch_p50_ns
chained_hash_bounded,1,sr_64,256,64,0,1024,512,32,5,1841.581,21.808,1838.417,1847.432,1949.208,batch_p50_ns
balanced_tree_bounded,0,sr_64,256,64,0,1024,512,32,5,3083.166,12.178,3080.378,3098.827,3128.970,batch_p50_ns
balanced_tree_bounded,1,sr_64,256,64,0,1024,512,32,5,2258.126,8.843,2258.383,2268.428,2276.140,batch_p50_ns
psn_dynblock,0,sr_64,256,64,262144,1024,512,32,5,1146.607,9.378,1144.327,1155.972,1186.828,batch_p50_ns
psn_dynblock,1,sr_64,256,64,262144,1024,512,32,5,1144.167,5.335,1142.780,1149.058,1159.636,batch_p50_ns
psn_dynblock_adaptive,0,sr_64,256,64,262144,1024,512,32,5,1147.170,14.504,1143.552,1152.350,1216.482,batch_p50_ns
psn_dynblock_adaptive,1,sr_64,256,64,262144,1024,512,32,5,1146.039,10.267,1142.980,1156.166,1194.589,batch_p50_ns
ring_fixed,0,sr_64,256,64,1048576,1024,512,32,5,1198.123,16.811,1194.006,1209.400,1252.023,batch_p50_ns
ring_fixed,1,sr_64,256,64,1048576,1024,512,32,5,1195.407,9.524,1193.312,1201.942,1247.649,batch_p50_ns
index_only,0,sr_64,256,64,0,1024,512,32,5,1748.885,9.872,1747.431,1756.082,1794.256,batch_p50_ns
index_only,1,sr_64,256,64,0,1024,512,32,5,973.023,77.497,947.290,1059.662,1221.418,batch_p50_ns
fifo_bounded,0,gbn_long64,512,64,0,1024,512,32,5,16288.444,314.129,16259.753,16695.592,16939.940,batch_p50_ns
fifo_bounded,1,gbn_long64,512,64,0,1024,512,32,5,16320.202,328.570,16273.934,16786.754,17031.795,batch_p50_ns
chained_hash_bounded,0,gbn_long64,512,64,0,1024,512,32,5,1074.057,29.386,1063.624,1119.427,1178.551,batch_p50_ns
chained_hash_bounded,1,gbn_long64,512,64,0,1024,512,32,5,1064.242,7.245,1062.799,1072.362,1095.951,batch_p50_ns
balanced_tree_bounded,0,gbn_long64,512,64,0,1024,512,32,5,1152.897,14.861,1148.968,1161.526,1257.146,batch_p50_ns
balanced_tree_bounded,1,gbn_long64,512,64,0,1024,512,32,5,1149.920,6.121,1147.983,1156.226,1178.044,batch_p50_ns
psn_dynblock,0,gbn_long64,512,64,524288,1024,512,32,5,1037.043,22.507,1029.272,1057.400,1160.313,batch_p50_ns
psn_dynblock,1,gbn_long64,512,64,524288,1024,512,32,5,1031.200,13.245,1027.795,1037.338,1103.317,batch_p50_ns
