# exp1b lookup/retrieve time cost (batch-amortized). payload=1024 reps=5 B=512 n_batches=32
# methods: fifo_bounded / chained_hash_bounded / balanced_tree_bounded / psn_dynblock(S0=payload) / psn_dynblock_adaptive(收敛后冻结) / ring_fixed(固定S=4096去弹性) / index_only(对照E)
# modes: gbn_long64(64) / gbn_short8(8) / sr_16(16) / sr_64(64); per-op = 一次 retrieve_range/retrieve_set(定位+memcpy+升序交付全过程)
# SR retrieve_set 按第 4B 升序契约交付; sort_impl=0 主(glibc qsort)/1 xval(内联插入排序)，只作用于 SR 排序路径(GBN 无排序故两遍一致)
#   fifo/hash/index_only 显式 sort_u32_asc; tree=tree_search_set(排序+k 次 O(log N) 查找, 主; tree_inorder=1 才退中序 O(N)); dynblock 位置映射扫槽
# N=缓存深度(工作集条数)=环长(所有方法同义); dynblock 环长=N(Φ=psn%N O(1)); index_only=Φ纯算术 len=0 无 memcpy
# p50=主指标 p90=次指标; p99 仅留痕(实机尾部干净, p99 备查)
# floor(空批,读钟/B): B=512 median=0.293 ns/op; B=32(xval) median=0.375 ns/op
method,sort_impl,mode,N,payload,B,n_batches,reps,mean_ns,std_ns,p50_ns,p90_ns,p99_ns
chained_hash_bounded,0,sr_16,256,1024,512,32,5,443.020,8.037,440.744,447.762,485.200
chained_hash_bounded,1,sr_16,256,1024,512,32,5,276.438,1.214,276.270,277.662,280.955
balanced_tree_bounded,0,sr_16,256,1024,512,32,5,612.872,5.260,612.354,616.363,643.547
balanced_tree_bounded,1,sr_16,256,1024,512,32,5,450.459,2.512,450.567,453.055,458.931
psn_dynblock,0,sr_16,256,1024,512,32,5,214.545,2.020,214.127,216.607,223.506
psn_dynblock,1,sr_16,256,1024,512,32,5,213.344,1.012,213.346,214.543,216.327
psn_dynblock_adaptive,0,sr_16,256,1024,512,32,5,216.730,3.078,216.196,219.681,229.128
psn_dynblock_adaptive,1,sr_16,256,1024,512,32,5,215.713,4.355,214.307,222.649,233.830
ring_fixed,0,sr_16,256,1024,512,32,5,206.710,1.417,206.391,207.865,213.974
ring_fixed,1,sr_16,256,1024,512,32,5,207.437,2.009,206.552,210.103,213.752
index_only,0,sr_16,256,1024,512,32,5,317.846,1.763,317.762,319.694,323.238
index_only,1,sr_16,256,1024,512,32,5,156.200,1.057,155.979,157.367,161.016
fifo_bounded,0,sr_64,256,1024,512,32,5,10203.729,64.542,10192.542,10265.039,10433.590
fifo_bounded,1,sr_64,256,1024,512,32,5,9272.312,49.642,9264.811,9317.943,9459.792
chained_hash_bounded,0,sr_64,256,1024,512,32,5,2589.893,8.281,2587.884,2601.021,2614.582
chained_hash_bounded,1,sr_64,256,1024,512,32,5,1659.963,8.292,1658.940,1662.791,1683.877
balanced_tree_bounded,0,sr_64,256,1024,512,32,5,2946.255,25.020,2943.447,2953.770,2983.064
balanced_tree_bounded,1,sr_64,256,1024,512,32,5,2028.834,8.560,2027.609,2035.266,2068.638
psn_dynblock,0,sr_64,256,1024,512,32,5,962.737,9.865,959.716,969.901,1006.929
psn_dynblock,1,sr_64,256,1024,512,32,5,960.020,3.036,959.649,963.410,972.000
psn_dynblock_adaptive,0,sr_64,256,1024,512,32,5,961.813,5.648,960.734,968.302,987.762
psn_dynblock_adaptive,1,sr_64,256,1024,512,32,5,961.712,7.356,960.071,968.619,997.160
ring_fixed,0,sr_64,256,1024,512,32,5,992.467,4.183,991.589,997.156,1005.840
ring_fixed,1,sr_64,256,1024,512,32,5,992.810,5.429,992.015,996.928,1008.949
index_only,0,sr_64,256,1024,512,32,5,1750.071,8.694,1749.913,1760.650,1783.674
index_only,1,sr_64,256,1024,512,32,5,852.458,24.790,845.002,859.191,998.896
fifo_bounded,0,gbn_long64,512,1024,512,32,5,16173.758,316.899,16124.668,16601.037,16831.191
fifo_bounded,1,gbn_long64,512,1024,512,32,5,16174.509,318.619,16149.353,16612.352,16835.965
chained_hash_bounded,0,gbn_long64,512,1024,512,32,5,1020.103,5.289,1019.511,1026.052,1039.775
chained_hash_bounded,1,gbn_long64,512,1024,512,32,5,1020.557,6.321,1019.238,1026.917,1047.627
balanced_tree_bounded,0,gbn_long64,512,1024,512,32,5,1134.076,3.442,1133.630,1136.830,1147.887
balanced_tree_bounded,1,gbn_long64,512,1024,512,32,5,1134.846,4.515,1133.944,1138.937,1155.766
psn_dynblock,0,gbn_long64,512,1024,512,32,5,996.028,10.795,992.977,997.555,1038.538
psn_dynblock,1,gbn_long64,512,1024,512,32,5,993.616,4.605,992.630,996.375,1019.763
psn_dynblock_adaptive,0,gbn_long64,512,1024,512,32,5,995.291,6.954,993.310,1000.631,1032.887
psn_dynblock_adaptive,1,gbn_long64,512,1024,512,32,5,996.104,10.595,993.662,997.845,1052.089
ring_fixed,0,gbn_long64,512,1024,512,32,5,1123.926,25.632,1135.465,1150.220,1163.457
ring_fixed,1,gbn_long64,512,1024,512,32,5,1117.542,27.570,1132.348,1144.668,1164.674
index_only,0,gbn_long64,512,1024,512,32,5,181.562,1.132,181.176,182.164,186.374
index_only,1,gbn_long64,512,1024,512,32,5,181.516,1.708,181.181,182.215,184.298
fifo_bounded,0,gbn_short8,512,1024,512,32,5,2053.432,49.539,2053.301,2117.193,2166.924
fifo_bounded,1,gbn_short8,512,1024,512,32,5,2053.056,49.271,2053.175,2120.227,2170.815
chained_hash_bounded,0,gbn_short8,512,1024,512,32,5,91.567,0.596,91.477,92.136,93.747
chained_hash_bounded,1,gbn_short8,512,1024,512,32,5,91.602,1.919,91.378,91.952,95.081
balanced_tree_bounded,0,gbn_short8,512,1024,512,32,5,145.797,2.390,145.386,146.912,160.522
balanced_tree_bounded,1,gbn_short8,512,1024,512,32,5,145.486,1.273,145.223,146.753,148.400
psn_dynblock,0,gbn_short8,512,1024,512,32,5,77.394,2.219,77.073,78.628,80.547
psn_dynblock,1,gbn_short8,512,1024,512,32,5,78.028,1.667,77.449,80.655,82.824
psn_dynblock_adaptive,0,gbn_short8,512,1024,512,32,5,81.005,4.914,79.434,87.027,101.192
psn_dynblock_adaptive,1,gbn_short8,512,1024,512,32,5,76.460,0.658,76.335,76.877,78.995
ring_fixed,0,gbn_short8,512,1024,512,32,5,84.313,0.795,84.173,84.725,88.519
ring_fixed,1,gbn_short8,512,1024,512,32,5,84.449,1.797,84.103,84.986,93.715
index_only,0,gbn_short8,512,1024,512,32,5,23.348,0.230,23.321,23.354,24.480
index_only,1,gbn_short8,512,1024,512,32,5,23.392,0.707,23.320,23.354,26.075
fifo_bounded,0,sr_16,512,1024,512,32,5,4503.483,31.585,4497.679,4540.424,4617.311
fifo_bounded,1,sr_16,512,1024,512,32,5,4339.387,46.375,4332.301,4377.198,4480.997
chained_hash_bounded,0,sr_16,512,1024,512,32,5,451.186,4.099,450.356,454.599,469.334
chained_hash_bounded,1,sr_16,512,1024,512,32,5,288.250,1.865,287.821,290.233,295.076
balanced_tree_bounded,0,sr_16,512,1024,512,32,5,674.252,6.635,673.150,677.997,705.810
balanced_tree_bounded,1,sr_16,512,1024,512,32,5,511.234,4.402,510.606,514.754,538.774
psn_dynblock,0,sr_16,512,1024,512,32,5,242.927,8.181,241.009,251.302,289.709
psn_dynblock,1,sr_16,512,1024,512,32,5,238.859,3.289,238.371,242.230,244.867
psn_dynblock_adaptive,0,sr_16,512,1024,512,32,5,244.376,4.999,242.991,249.368,265.843
psn_dynblock_adaptive,1,sr_16,512,1024,512,32,5,244.184,5.102,242.236,250.102,265.056
ring_fixed,0,sr_16,512,1024,512,32,5,240.612,5.623,239.154,244.196,276.926
ring_fixed,1,sr_16,512,1024,512,32,5,241.065,3.709,240.259,243.365,250.255
index_only,0,sr_16,512,1024,512,32,5,317.196,2.485,316.629,319.467,326.136
index_only,1,sr_16,512,1024,512,32,5,156.261,1.999,155.900,157.490,160.358
fifo_bounded,0,sr_64,512,1024,512,32,5,18363.722,53.909,18365.662,18428.318,18483.157
fifo_bounded,1,sr_64,512,1024,512,32,5,17436.322,48.577,17432.266,17502.940,17561.430
chained_hash_bounded,0,sr_64,512,1024,512,32,5,2618.672,13.918,2614.762,2635.959,2672.034
chained_hash_bounded,1,sr_64,512,1024,512,32,5,1689.850,11.409,1687.302,1693.363,1758.956
balanced_tree_bounded,0,sr_64,512,1024,512,32,5,3236.704,71.215,3219.963,3269.219,3546.053
balanced_tree_bounded,1,sr_64,512,1024,512,32,5,2304.917,15.098,2302.174,2312.566,2369.343
psn_dynblock,0,sr_64,512,1024,512,32,5,1039.603,17.107,1033.920,1051.366,1125.126
psn_dynblock,1,sr_64,512,1024,512,32,5,1035.471,6.679,1034.305,1038.936,1077.108
psn_dynblock_adaptive,0,sr_64,512,1024,512,32,5,1039.122,13.973,1034.700,1052.030,1121.303
psn_dynblock_adaptive,1,sr_64,512,1024,512,32,5,1038.996,13.552,1034.675,1055.778,1096.959
ring_fixed,0,sr_64,512,1024,512,32,5,1128.460,15.840,1127.911,1140.776,1193.334
ring_fixed,1,sr_64,512,1024,512,32,5,1127.360,12.233,1127.045,1135.523,1182.211
index_only,0,sr_64,512,1024,512,32,5,1754.911,17.241,1751.013,1766.570,1855.174
index_only,1,sr_64,512,1024,512,32,5,847.696,11.415,845.086,851.862,919.396
fifo_bounded,0,gbn_long64,1024,1024,512,32,5,33444.726,4502.784,32828.670,34040.574,56339.553
fifo_bounded,1,gbn_long64,1024,1024,512,32,5,32824.658,778.711,32814.322,33750.519,34656.334
chained_hash_bounded,0,gbn_long64,1024,1024,512,32,5,1032.096,4.531,1031.537,1037.903,1045.390
chained_hash_bounded,1,gbn_long64,1024,1024,512,32,5,1031.316,4.872,1030.619,1037.903,1047.431
balanced_tree_bounded,0,gbn_long64,1024,1024,512,32,5,1180.537,4.693,1179.757,1184.970,1204.195
balanced_tree_bounded,1,gbn_long64,1024,1024,512,32,5,1179.304,3.194,1178.888,1182.668,1192.507
psn_dynblock,0,gbn_long64,1024,1024,512,32,5,998.887,13.621,993.735,1012.754,1059.136
psn_dynblock,1,gbn_long64,1024,1024,512,32,5,994.170,2.163,994.157,996.571,1002.179
psn_dynblock_adaptive,0,gbn_long64,1024,1024,512,32,5,1005.153,26.048,995.334,1029.911,1116.904
psn_dynblock_adaptive,1,gbn_long64,1024,1024,512,32,5,999.933,17.122,995.066,1008.196,1098.379
ring_fixed,0,gbn_long64,1024,1024,512,32,5,1408.733,122.190,1485.931,1527.797,1581.458
ring_fixed,1,gbn_long64,1024,1024,512,32,5,1402.151,151.904,1323.486,1572.672,1610.748
index_only,0,gbn_long64,1024,1024,512,32,5,181.587,0.711,181.310,182.498,184.616
index_only,1,gbn_long64,1024,1024,512,32,5,181.596,0.683,181.474,182.610,184.101
fifo_bounded,0,gbn_short8,1024,1024,512,32,5,4132.657,112.183,4120.409,4236.761,4500.151
fifo_bounded,1,gbn_short8,1024,1024,512,32,5,4132.087,110.694,4115.295,4234.922,4479.932
chained_hash_bounded,0,gbn_short8,1024,1024,512,32,5,94.766,1.626,94.415,95.850,101.157
chained_hash_bounded,1,gbn_short8,1024,1024,512,32,5,94.110,0.860,93.979,94.633,97.588
balanced_tree_bounded,0,gbn_short8,1024,1024,512,32,5,162.834,1.173,162.739,164.280,166.443
balanced_tree_bounded,1,gbn_short8,1024,1024,512,32,5,162.843,1.222,162.737,164.212,166.867
psn_dynblock,0,gbn_short8,1024,1024,512,32,5,77.760,0.945,77.601,77.984,83.458
psn_dynblock,1,gbn_short8,1024,1024,512,32,5,77.626,0.474,77.568,77.955,80.235
psn_dynblock_adaptive,0,gbn_short8,1024,1024,512,32,5,78.468,2.072,77.760,80.347,87.762
psn_dynblock_adaptive,1,gbn_short8,1024,1024,512,32,5,77.729,0.868,77.597,77.986,82.094
ring_fixed,0,gbn_short8,1024,1024,512,32,5,114.784,13.749,104.201,132.174,141.164
ring_fixed,1,gbn_short8,1024,1024,512,32,5,103.369,1.830,103.100,104.289,112.103
index_only,0,gbn_short8,1024,1024,512,32,5,23.405,0.657,23.327,23.356,26.227
index_only,1,gbn_short8,1024,1024,512,32,5,23.349,0.245,23.322,23.353,25.083
fifo_bounded,0,sr_16,1024,1024,512,32,5,9174.809,101.271,9157.495,9280.637,9498.317
fifo_bounded,1,sr_16,1024,1024,512,32,5,9006.265,87.672,8992.271,9122.118,9377.239
chained_hash_bounded,0,sr_16,1024,1024,512,32,5,462.754,20.639,458.902,468.950,580.444
chained_hash_bounded,1,sr_16,1024,1024,512,32,5,295.633,3.179,294.844,297.865,310.330
balanced_tree_bounded,0,sr_16,1024,1024,512,32,5,765.326,23.352,761.739,774.854,856.832
balanced_tree_bounded,1,sr_16,1024,1024,512,32,5,602.210,22.526,599.096,605.518,762.603
psn_dynblock,0,sr_16,1024,1024,512,32,5,274.581,6.062,274.901,279.721,295.613
psn_dynblock,1,sr_16,1024,1024,512,32,5,287.506,29.968,277.893,303.037,435.022
psn_dynblock_adaptive,0,sr_16,1024,1024,512,32,5,274.399,4.372,274.795,279.328,284.092
psn_dynblock_adaptive,1,sr_16,1024,1024,512,32,5,273.654,5.472,273.751,278.315,292.275
ring_fixed,0,sr_16,1024,1024,512,32,5,320.399,14.464,318.974,325.953,421.619
ring_fixed,1,sr_16,1024,1024,512,32,5,321.871,5.335,320.337,326.685,348.012
index_only,0,sr_16,1024,1024,512,32,5,320.876,9.429,319.411,322.526,390.654
index_only,1,sr_16,1024,1024,512,32,5,156.837,1.326,156.546,158.590,161.170
fifo_bounded,0,sr_64,1024,1024,512,32,5,37103.226,135.941,37085.602,37289.599,37490.333
fifo_bounded,1,sr_64,1024,1024,512,32,5,36134.310,130.903,36125.501,36304.074,36568.875
chained_hash_bounded,0,sr_64,1024,1024,512,32,5,2689.952,90.141,2666.393,2744.678,3198.247
chained_hash_bounded,1,sr_64,1024,1024,512,32,5,1706.929,14.442,1702.703,1718.461,1781.654
balanced_tree_bounded,0,sr_64,1024,1024,512,32,5,3426.047,26.469,3419.404,3453.082,3534.239
balanced_tree_bounded,1,sr_64,1024,1024,512,32,5,2508.089,27.289,2502.965,2527.424,2667.546
psn_dynblock,0,sr_64,1024,1024,512,32,5,1090.224,28.494,1080.941,1115.232,1240.575
psn_dynblock,1,sr_64,1024,1024,512,32,5,1087.178,22.999,1079.549,1107.400,1232.991
psn_dynblock_adaptive,0,sr_64,1024,1024,512,32,5,1103.904,58.341,1082.302,1159.889,1424.507
psn_dynblock_adaptive,1,sr_64,1024,1024,512,32,5,1094.731,50.783,1084.284,1106.133,1345.392
ring_fixed,0,sr_64,1024,1024,512,32,5,1387.286,82.905,1363.514,1538.442,1575.797
ring_fixed,1,sr_64,1024,1024,512,32,5,1345.162,79.787,1313.979,1526.570,1587.316
index_only,0,sr_64,1024,1024,512,32,5,1753.511,8.094,1751.659,1762.141,1787.348
index_only,1,sr_64,1024,1024,512,32,5,846.171,6.839,844.756,850.820,875.161
fifo_bounded,0,gbn_long64,2048,1024,512,32,5,65099.902,1185.342,64971.945,67213.016,68010.591
fifo_bounded,1,gbn_long64,2048,1024,512,32,5,66697.699,13895.079,64989.332,67363.739,138325.952
chained_hash_bounded,0,gbn_long64,2048,1024,512,32,5,1110.291,19.756,1107.484,1123.560,1225.349
chained_hash_bounded,1,gbn_long64,2048,1024,512,32,5,1109.215,23.348,1106.804,1118.050,1142.208
balanced_tree_bounded,0,gbn_long64,2048,1024,512,32,5,1305.285,9.824,1303.316,1316.240,1342.151
balanced_tree_bounded,1,gbn_long64,2048,1024,512,32,5,1303.312,10.726,1303.152,1314.699,1336.277
psn_dynblock,0,gbn_long64,2048,1024,512,32,5,1047.532,9.288,1045.684,1059.223,1083.905
psn_dynblock,1,gbn_long64,2048,1024,512,32,5,1041.116,11.685,1043.443,1051.915,1062.630
