exp1b floor: B=512 median=0.293 ns/op; B=32 (xval) median=0.375 ns/op
  psn_dynblock_adaptive  si=0 gbn_short8  N= 4096  p50=  107.105  p90=  116.430
  psn_dynblock_adaptive  si=1 gbn_short8  N= 4096  p50=  106.084  p90=  109.763
  ring_fixed             si=0 gbn_short8  N= 4096  p50=  195.884  p90=  271.771
  ring_fixed             si=1 gbn_short8  N= 4096  p50=  202.882  p90=  234.510
  index_only             si=0 gbn_short8  N= 4096  p50=   23.325  p90=   23.355
  index_only             si=1 gbn_short8  N= 4096  p50=   23.330  p90=   23.409
  fifo_bounded           si=0 sr_16       N= 4096  p50=35319.157  p90=35643.105
  fifo_bounded           si=1 sr_16       N= 4096  p50=35060.195  p90=35385.672
  chained_hash_bounded   si=0 sr_16       N= 4096  p50=  567.692  p90=  582.468
  chained_hash_bounded   si=1 sr_16       N= 4096  p50=  390.883  p90=  401.059
  balanced_tree_bounded  si=0 sr_16       N= 4096  p50=  984.484  p90=  998.004
  balanced_tree_bounded  si=1 sr_16       N= 4096  p50=  818.939  p90=  848.636
  psn_dynblock           si=0 sr_16       N= 4096  p50=  355.177  p90=  380.346
  psn_dynblock           si=1 sr_16       N= 4096  p50=  352.913  p90=  358.672
  psn_dynblock_adaptive  si=0 sr_16       N= 4096  p50=  352.695  p90=  360.858
  psn_dynblock_adaptive  si=1 sr_16       N= 4096  p50=  353.543  p90=  365.805
  ring_fixed             si=0 sr_16       N= 4096  p50=  452.715  p90=  523.579
  ring_fixed             si=1 sr_16       N= 4096  p50=  465.342  p90=  490.929
  index_only             si=0 sr_16       N= 4096  p50=  317.527  p90=  320.975
  index_only             si=1 sr_16       N= 4096  p50=  156.580  p90=  157.980
  fifo_bounded           si=0 sr_64       N= 4096  p50=141122.565  p90=142228.783
  fifo_bounded           si=1 sr_64       N= 4096  p50=140793.533  p90=142478.640
  chained_hash_bounded   si=0 sr_64       N= 4096  p50= 3149.829  p90= 3207.611
  chained_hash_bounded   si=1 sr_64       N= 4096  p50= 2184.531  p90= 2213.941
  balanced_tree_bounded  si=0 sr_64       N= 4096  p50= 4321.860  p90= 4401.759
  balanced_tree_bounded  si=1 sr_64       N= 4096  p50= 3368.796  p90= 3418.704
  psn_dynblock           si=0 sr_64       N= 4096  p50= 1558.797  p90= 1582.271
