# exp1b lookup/retrieve time cost (batch-amortized). payload=1024 reps=5 B=512 n_batches=32
# methods: fifo_bounded / chained_hash_bounded / balanced_tree_bounded / psn_dynblock(S0=payload) / psn_dynblock_adaptive(收敛后冻结) / index_only(对照E)
# modes: gbn_long64(64) / gbn_short8(8) / sr_16(16) / sr_64(64); per-op = 一次 retrieve_range/retrieve_set(定位+memcpy 全过程)
# reorder: 0=仅取包; 1=取包前先把 PSN 集升序整理(仅 SR; GBN 输出天然有序故恒 0)
# N=缓存深度(工作集条数); dynblock 环固定 10240 存 N 条(Φ 位置索引 O(1)); index_only=Φ纯算术 len=0 无 memcpy
# p50=主指标 p90=次指标; p99 仅留痕(VM ~2ms 调度停顿污染 ~1% 批次, 不可用)
# floor(空批,读钟/B): B=512 median=7.228 ns/op; B=32(xval) median=115.636 ns/op
method,mode,N,payload,B,n_batches,reps,reorder,mean_ns,std_ns,p50_ns,p90_ns,p99_ns
balanced_tree_bounded,sr_16,2048,1024,512,32,5,0,871.160,100.106,853.417,966.515,1262.447
balanced_tree_bounded,sr_16,2048,1024,512,32,5,1,1057.115,143.620,1036.445,1215.762,1591.586
psn_dynblock,sr_16,2048,1024,512,32,5,0,383.213,61.532,351.211,462.747,590.105
psn_dynblock,sr_16,2048,1024,512,32,5,1,596.359,295.027,510.604,703.400,2686.436
psn_dynblock_adaptive,sr_16,2048,1024,512,32,5,0,415.518,66.368,386.762,505.525,656.715
psn_dynblock_adaptive,sr_16,2048,1024,512,32,5,1,576.177,90.339,552.992,696.172,873.340
index_only,sr_16,2048,1024,512,32,5,0,78.792,29.256,73.446,76.766,197.483
index_only,sr_16,2048,1024,512,32,5,1,242.157,79.784,225.220,314.684,584.636
fifo_bounded,sr_64,2048,1024,512,32,5,0,102046.846,6823.419,100401.366,110932.436,129933.407
fifo_bounded,sr_64,2048,1024,512,32,5,1,104473.595,9810.237,102524.456,111275.639,154164.266
chained_hash_bounded,sr_64,2048,1024,512,32,5,0,1966.056,297.315,1910.762,2189.701,3182.781
chained_hash_bounded,sr_64,2048,1024,512,32,5,1,3778.532,1069.504,3382.804,4820.271,8643.944
balanced_tree_bounded,sr_64,2048,1024,512,32,5,0,3998.757,520.929,3886.376,4508.126,6361.851
balanced_tree_bounded,sr_64,2048,1024,512,32,5,1,4846.677,530.353,4772.218,5441.044,6948.831
psn_dynblock,sr_64,2048,1024,512,32,5,0,1953.349,442.256,1886.151,2140.086,3957.282
psn_dynblock,sr_64,2048,1024,512,32,5,1,3077.185,417.253,3022.606,3339.634,5504.332
psn_dynblock_adaptive,sr_64,2048,1024,512,32,5,0,2090.917,445.005,1962.916,2532.512,3840.472
psn_dynblock_adaptive,sr_64,2048,1024,512,32,5,1,3484.911,1273.595,3238.452,3872.507,8876.001
index_only,sr_64,2048,1024,512,32,5,0,293.560,206.441,248.075,387.544,707.502
index_only,sr_64,2048,1024,512,32,5,1,1493.723,520.131,1381.210,1718.748,4037.565
fifo_bounded,gbn_long64,4096,1024,512,32,5,0,206885.086,40963.902,195959.606,222381.141,448132.389
chained_hash_bounded,gbn_long64,4096,1024,512,32,5,0,1942.674,203.292,1933.226,2169.776,2641.314
balanced_tree_bounded,gbn_long64,4096,1024,512,32,5,0,2503.300,342.226,2466.490,2750.896,4262.786
psn_dynblock,gbn_long64,4096,1024,512,32,5,0,1935.945,553.614,1814.462,2139.109,5868.436
psn_dynblock_adaptive,gbn_long64,4096,1024,512,32,5,0,1838.884,266.699,1770.316,2058.631,2959.904
index_only,gbn_long64,4096,1024,512,32,5,0,286.982,93.073,261.748,395.162,684.452
fifo_bounded,gbn_short8,4096,1024,512,32,5,0,24499.054,1997.219,23982.197,26593.429,32534.725
chained_hash_bounded,gbn_short8,4096,1024,512,32,5,0,217.763,50.201,200.804,313.707,419.774
balanced_tree_bounded,gbn_short8,4096,1024,512,32,5,0,384.711,101.192,356.095,490.876,881.935
psn_dynblock,gbn_short8,4096,1024,512,32,5,0,217.704,80.058,189.865,305.503,557.290
psn_dynblock_adaptive,gbn_short8,4096,1024,512,32,5,0,200.607,45.928,181.661,285.970,356.485
index_only,gbn_short8,4096,1024,512,32,5,0,46.554,17.691,44.341,46.099,174.825
fifo_bounded,sr_16,4096,1024,512,32,5,0,50727.958,7539.898,49249.501,55619.165,103529.843
fifo_bounded,sr_16,4096,1024,512,32,5,1,50247.598,7992.724,48679.319,53173.967,97142.599
chained_hash_bounded,sr_16,4096,1024,512,32,5,0,598.238,125.040,557.289,770.790,1031.561
chained_hash_bounded,sr_16,4096,1024,512,32,5,1,701.687,125.099,674.686,825.288,1264.987
